iter	Passed	Remaining
0	55214	55158845
1	128815	64279168
2	213762	71040254
3	291101	72484338
4	377798	75181869
5	465380	77098026
6	541522	76818771
7	620532	76946030
8	703991	77517323
9	781078	77326748
10	869232	78151899
11	949688	78191027
12	1035526	78620384
13	1123181	79104033
14	1211172	79533687
15	1300108	79956661
16	1389081	80321618
17	1465936	79974988
18	1542753	79654792
19	1623401	79546669
20	1709683	79703798
21	1787394	79457829
22	1871380	79492970
23	1959139	79671671
24	2035389	79380201
25	2124085	79571498
26	2210795	79670514
27	2286901	79388160
28	2364066	79155471
29	2450174	79222294
30	2529447	79065633
31	2615956	79132688
32	2702291	79185336
33	2781582	79029677
34	2866197	79025152
35	2945822	78882574
36	3027823	78805233
37	3112988	78807764
38	3198985	78826294
39	3275894	78621476
40	3362646	78653113
41	3440794	78482884
42	3527322	78503424
43	3613973	78521790
44	3693018	78374054
45	3770374	78194287
46	3860719	78282251
47	3938252	78108665
48	4025143	78120641
49	4112241	78132588
50	4198881	78132133
51	4274417	77925916
52	4361692	77934393
53	4442135	77819637
54	4529876	77831508
55	4606896	77659115
56	4694372	77663039
57	4783636	77692859
58	4867790	77637131
59	4956229	77647600
60	5043026	77629535
61	5122332	77495940
62	5208975	77473181
63	5294122	77426537
64	5379251	77378460
65	5466755	77362869
66	5555931	77368425
67	5644878	77368036
68	5731093	77328230
69	5807345	77154727
70	5884902	77001045
71	5970961	76959064
72	6046894	76787282
73	6136361	76787442
74	6212844	76625083
75	6298700	76578938
76	6377795	76450718
77	6462689	76392305
78	6550375	76365766
79	6638292	76340368
80	6724162	76290184
81	6810878	76248616
82	6891766	76141564
83	6978990	76104235
84	7058365	75981230
85	7143019	75915344
86	7224478	75815502
87	7304990	75706261
88	7380542	75546898
89	7465519	75484700
90	7551265	75429671
91	7636665	75370568
92	7723791	75327725
93	7812053	75294902
94	7897514	75234215
95	7981878	75162691
96	8069213	75118555
97	8147732	74992397
98	8234348	74940887
99	8313811	74824302
100	8402633	74791758
101	8491386	74757499
102	8568980	74625008
103	8646208	74490411
104	8723534	74357750
105	8810982	74311494
106	8900965	74285627
107	8977444	74147040
108	9064180	74093439
109	9142023	73967281
110	9230560	73927644
111	9306556	73787696
112	9393054	73731321
113	9484785	73715083
114	9559924	73569851
115	9647511	73520688
116	9731429	73443178
117	9820694	73405533
118	9900328	73295705
119	9986005	73230709
120	10069973	73152949
121	10157569	73101197
122	10244450	73043766
123	10331011	72983600
124	10414842	72903894
125	10500019	72833469
