iter	MultiClass
0	1.57379874
1	1.539754905
2	1.507232175
3	1.476156511
4	1.446393973
5	1.417848099
6	1.390480199
7	1.364169989
8	1.338835069
9	1.314443829
10	1.290901324
11	1.268171311
12	1.246209512
13	1.224991049
14	1.204459618
15	1.184574575
16	1.165305362
17	1.146630515
18	1.128494487
19	1.110885671
20	1.093804074
21	1.077189875
22	1.061042802
23	1.045321391
24	1.030022138
25	1.015127255
26	1.000623103
27	0.986479165
28	0.9726960525
29	0.959263871
30	0.9461818266
31	0.9334061738
32	0.9209229574
33	0.9087307358
34	0.8968061107
35	0.8851537896
36	0.8737673254
37	0.8626316479
38	0.851752334
39	0.8410990476
40	0.8306689215
41	0.8204653492
42	0.8104873037
43	0.8007062722
44	0.791128396
45	0.7817382401
46	0.7725564985
47	0.7635437624
48	0.7547109512
49	0.7460555001
50	0.737563505
51	0.729243243
52	0.7210803807
53	0.7130749879
54	0.7052269429
55	0.6975119427
56	0.6899444226
57	0.6825164246
58	0.6752256221
59	0.6680514234
60	0.6610106001
61	0.6541026845
62	0.6473250002
63	0.6406506191
64	0.6341051166
65	0.6276654562
66	0.6213268876
67	0.615112948
68	0.6089853299
69	0.60297496
70	0.5970608008
71	0.5912589941
72	0.5855275074
73	0.5799102746
74	0.5743821074
75	0.5689306401
76	0.563583898
77	0.5582949428
78	0.5531196034
79	0.5480324386
80	0.5430087015
81	0.5380829289
82	0.5332196194
83	0.5284174696
84	0.5237195835
85	0.51906366
86	0.5144936175
87	0.5099797931
88	0.5055543278
89	0.5011932406
90	0.4968985038
91	0.4926592257
92	0.4884826753
93	0.4843709675
94	0.4803252749
95	0.4763296934
96	0.4723997807
97	0.468525121
98	0.4646984735
99	0.4609319533
100	0.4572197213
101	0.4535480651
102	0.4499422046
103	0.4463927064
104	0.4429035543
105	0.439459053
106	0.4360599619
107	0.4327397236
108	0.429428448
109	0.4261808837
110	0.4229589963
111	0.4197640304
112	0.4166155527
113	0.4135161282
114	0.4105055591
115	0.4074928654
116	0.4045528591
117	0.401637055
118	0.3987588757
119	0.3959192446
120	0.39311523
121	0.3903614222
122	0.3876221679
123	0.3849115723
124	0.3822619891
125	0.3796409105
126	0.3770769343
127	0.3745296126
128	0.3720350512
129	0.3695491074
130	0.3671008602
131	0.3646632781
132	0.3622942258
133	0.3599364361
134	0.357604806
135	0.355285677
136	0.3529976783
137	0.3507496272
138	0.3485216484
139	0.3463213239
140	0.3441711401
141	0.3420624934
142	0.3400002064
143	0.3379176007
144	0.3358989474
145	0.333875712
146	0.33188277
147	0.3299071931
148	0.3279775169
149	0.3260902569
150	0.3241933113
151	0.3223499447
152	0.3204860839
153	0.3186405135
154	0.3168282903
155	0.3150422407
156	0.3133218886
157	0.3115951444
158	0.3098866755
159	0.3081850565
160	0.3065295705
161	0.3048897337
162	0.3032461821
163	0.3016024867
164	0.2999898271
165	0.2983910938
166	0.2968128678
167	0.2952964334
168	0.2937672972
169	0.2922935742
170	0.290805505
171	0.2893184212
172	0.2878566547
173	0.286458955
174	0.2850820189
175	0.2836756892
176	0.282293964
177	0.2809217586
178	0.279551615
179	0.2782141502
180	0.276883044
181	0.2755828815
182	0.2742885668
183	0.2730601774
184	0.2718261605
185	0.2706152556
186	0.269388579
187	0.2681933562
188	0.2669848229
189	0.2658444795
190	0.2646592364
191	0.2634787012
192	0.2623287581
193	0.2611876588
194	0.2600526628
195	0.258982358
196	0.2578705601
197	0.2567823436
198	0.2557014941
199	0.2546292105
200	0.2535670292
201	0.2525329826
202	0.2515206289
203	0.2505267236
204	0.249564627
205	0.2485661664
206	0.2475754378
207	0.2466030813
208	0.2456460814
209	0.244711373
210	0.243778765
211	0.2428994853
212	0.2419827487
213	0.2410718273
214	0.2401653126
215	0.2392617284
216	0.2383765327
217	0.2375156724
218	0.2367133145
219	0.2359182513
220	0.2351001859
221	0.2342553971
222	0.2334449834
223	0.2326270502
224	0.2318256322
225	0.2310277363
226	0.2302326648
227	0.22944857
228	0.2286700134
229	0.2279405374
230	0.2271845974
231	0.2264586658
232	0.2257297931
233	0.2249965661
234	0.2242994901
235	0.2235806333
236	0.2228745748
237	0.2221727575
238	0.2214812445
239	0.2207981712
240	0.2201385492
